Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,492,Automation’s standardization in ATC includes:,"       Verbal communication safest when everyone adhere to standardization (language, format, etc).",      Deviations can lead to errors and misunderstanding – must be discouraged.,"       Recommendation with recent form of automation – apply rigid standardization, not to introduce any variations or shortcuts.",      All of above,4,SUP
,493,What is the training of controllers objective to,"       ensure that controllers possess the required knowledge, skills and experience to perform their duties safely and efficiently .",      make the best use of the human strengths and capabilities and overcome or circumvent human inadequacies or limitations.,       maintain controller’s proficiency.,      all of above,1,SUP
,494,The quality of learning: ,       Is independent of age.,      Is promoted by feedback on the value of one’s own performance .,       Depends on long-term memory capacity.,      Is independent of the level of motivation.,2,SUP
,495,Information stays in the short-term memory,Around 24 hours,About 20 seconds,Less than 1 second,During a few seconds,4,SUP
,496,Which combination of elements guarantee the understanding of a message without adding new information to it?,Synchronization,Encoding,Feedback,Coding,3,SUP
,497,Why is frost considered hazardous to flight?  ,Frost reduces drag and improves take-off performance,Frost improves boundary-layer attachment and increases lift,Frost affects only aircraft appearance,"Frost roughens the surface, reduces lift and increases drag and stall speed",4,SUP
,498,The name given to the lowest forecast mean sea level pressure in an area is:,Regional QNH.,QFE.,QFF.,QNE.,1,SUP
,499,One or more coloured rings around the sun or moon may indicate the presence of which type of cloud?  ,Altostratus.,High.,Stratus.,Cirrocumulus.,1,SUP
,500,Hail is most likely to fall from which type of cloud?  ,CB.,NS.,AC.,AS.,1,SUP
,501,"From the list below, select the Low, Medium and High clouds in ascending order.  ","Stratus, Altocumulus, Cirrus.","Nimbostratus, Cumulonimbus, Cirrus.","Altostratus, Altocumulus, Cirrus.","Cirrus, Cumulonimbus, Stratus.",1,SUP
,502,Precipitation produced by stratus is normally?  ,Drizzle.,  Heavy showers.,Heavy rain.,  Light showers.,1,SUP
,503,Unstable air is forced to rise up the side of a mountain. What weather might you expect to see on the windward slopes?,Cloud of extensive vertical development.,"Thick stratiform cloud, probably nimbostratus.","None, as the air will subside and warm adiabatically after passing over the summit.",Cap clouds with possible altocumulus lenticularis.,1,SUP
,504,"WMO data type designator used for OPMET data, which of the following statements is likely true SA ?",Aerodrome report,Aerodrome forecast,Volcanic ash advisorie,Administrative,1,SUP
,505,"WMO data type designator used for OPMET data, which of the following statements is likely true FT?",TAF,TCA,METAR,VAA,1,SUP
,506,"WMO data type designator used for OPMET data, which of the following statements is likely true WS ?",SIGMET,SIGMET for TC,SIGMET for VA,VAA,1,SUP
,507,"WMO data type designator used for OPMET data, which of the following statements is likely true FK ?",Tropical cyclone advisories,Air-reports,Aerodrome forecasts,Administrative,1,SUP
,508,"WMO data type designator used for OPMET data, which of the following statements is likely true WC ?",SIGMET,SIGMET for TC,SIGMET for VA,TCA,2,SUP
,509,"OPMET bulletins transmitted via AFTN,  priority indicators FF used for OPMET data as follow:",SIGMET,AIREP SPECIAL,"VAA, TCA and TAF AMD",All correct,4,SUP
,510,"OPMET bulletins transmitted via AFTN,  priority indicators GG used for OPMET data as follow:",a. SIGMET,"AIREP SPECIAL,","TAF, METAR and SPECI",All correct,4,SUP
,511,"Required transit times of AFTN messages and bulletins containing OPMET information (SIGMET messages, volcanic ash and tropical cyclone advisory infonnation and special air-reports) should achieve transit times of less than the following:",5 minutes,1 minute,10 minutes,15 minutes,1,SUP
,512,"In the METAR and SPECI reports, the term vicinity (VC) shall be understood as:",Between approximately 8 and 16 km of the aerodrome reference point.,Not further away than approximately 8 km of the aerodrome reference point.,Further away than approximately 16 km of the aerodrome reference point.,Between approximately 6 and 8 km of the aerodrome reference point.,1,SUP
,513,Which of the following statements is likely true about QNH?,Pressure at mean sea level,Pressure reset to mean sea level at same condition,Pressure level in accordance with ICAO standards,All the above,1,SUP
,514,Which of the following statements is likely true a METAR? ,An aviation weather report,An aviation weather forecast,An aerodrome warning,An AIRMET information,1,SUP
,515,"In the METAR/SPECI, when the RVR has increased during the 10 minutes preceding the observation, the tendency is indicated by:",U,D,N,P,1,SUP
,516,"In the METAR/SPECI, when the RVR has decreased, the tendency is indicated by:",U,D,N,P,2,SUP
,517,"In the METAR/SPECI, when the RVR no distinct change, the tendency is indicated by:",U,D,N,P,3,SUP
,518,In the aviation meteorological sevice “Cloud of operational significance” shall be understood as:,a cloud with the height of cloud base below 1 500 m (5 000 ft),"a cloud below the highest minimum sector altitude, whichever is greater",a cumulonimbus cloud or a towering cumulus cloud at any height,all correct,4,SUP
,519,"There is thunderstorm activity in the vicinity of an airport at which you plan to land, which hazardous atmospheric phenomenon might be expected on the landing approach?","Windshear, turbulence.",Steady rain.,Precipitation static.,Drizzle.,1,SUP
,520,The term “CAVOK” is uesd when:,Visibility is 10 km or more and no cumulonimbus no weather of significance to aviation.,"Visibility is 10 km or more; No cloud below 1500m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.","Visibility is 10 km; No cloud below 2000m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.","Visibility is 10 km or more; No cloud below 1000m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.",2,SUP
,521,The term “CALM” in METAR and SPECI reports is coded as: ,       00000 followed by the abbreviation for the wind speed units,      00000,       CALM,       /////,1,SUP
